fecha,geografia,variable,valor,unidad,fuente
2023-01-09,Cauca,temp_max,18.5,°C,open-meteo
2023-01-09,Cauca,temp_min,14.0,°C,open-meteo
2023-01-09,GLOBAL,precio_cafe_arabica,158.0500030517578,USc/lb,yfinance
2023-01-09,Huila,precipitacion,8.0,mm,open-meteo
2023-01-09,Huila,temp_max,24.6,°C,open-meteo
2023-01-09,Huila,temp_min,12.5,°C,open-meteo
2023-01-09,Nariño,precipitacion,6.2,mm,open-meteo
2023-01-09,Nariño,temp_max,18.0,°C,open-meteo
2023-01-09,Nariño,temp_min,14.5,°C,open-meteo
2023-01-09,Quindío,precipitacion,16.3,mm,open-meteo
2023-01-09,Quindío,temp_max,20.9,°C,open-meteo
2023-01-09,Quindío,temp_min,14.2,°C,open-meteo
2023-01-09,Risaralda,precipitacion,16.6,mm,open-meteo
2023-01-09,Risaralda,temp_max,22.2,°C,open-meteo
2023-01-09,Risaralda,temp_min,14.6,°C,open-meteo
2023-01-09,Tolima,precipitacion,20.5,mm,open-meteo
2023-01-09,Tolima,temp_max,21.1,°C,open-meteo
2023-01-09,Tolima,temp_min,12.5,°C,open-meteo
2023-01-10,Antioquia,precipitacion,16.3,mm,open-meteo
2023-01-10,Antioquia,temp_max,23.2,°C,open-meteo
2023-01-10,Antioquia,temp_min,16.9,°C,open-meteo
2023-01-10,COLOMBIA,fx_usd_local,4848.7900390625,COP/USD,yfinance
2023-01-10,COLOMBIA,precio_interno_referencia,1791000.0,COP/carga_125kg,FNC
2023-01-10,Caldas,precipitacion,3.7,mm,open-meteo
2023-01-10,Caldas,temp_max,14.9,°C,open-meteo
2023-01-10,Caldas,temp_min,11.6,°C,open-meteo
2023-01-10,Cauca,precipitacion,8.1,mm,open-meteo
2023-01-10,Cauca,temp_max,20.4,°C,open-meteo
2023-01-10,Cauca,temp_min,14.0,°C,open-meteo
2023-01-10,GLOBAL,precio_cafe_arabica,150.89999389648438,USc/lb,yfinance
2023-01-10,Huila,precipitacion,0.8,mm,open-meteo
2023-01-10,Huila,temp_max,23.6,°C,open-meteo
2023-01-10,Huila,temp_min,12.9,°C,open-meteo
2023-01-10,Nariño,precipitacion,21.8,mm,open-meteo
2023-01-10,Nariño,temp_max,21.0,°C,open-meteo
