semana_fin,fecha_dato,geografia,variable,valor,unidad,fuente,dias_observados
2023-02-12,2023-02-12,Tolima,temp_promedio_semanal,18.2929,°C,open-meteo,7
2023-02-19,2023-02-19,Antioquia,precipitacion_semanal,22.9,mm,open-meteo,7
2023-02-19,2023-02-19,Antioquia,temp_max_semanal,27.5,°C,open-meteo,7
2023-02-19,2023-02-19,Antioquia,temp_min_semanal,15.9,°C,open-meteo,7
2023-02-19,2023-02-19,Antioquia,temp_promedio_semanal,21.5071,°C,open-meteo,7
2023-02-19,2023-02-17,COLOMBIA,fx_usd_local,4923.2998046875,COP/USD,yfinance,5
2023-02-19,2023-02-19,COLOMBIA,precio_interno_referencia,2160000.0,COP/carga_125kg,FNC,7
2023-02-19,2023-02-19,Caldas,precipitacion_semanal,115.0,mm,open-meteo,7
2023-02-19,2023-02-19,Caldas,temp_max_semanal,19.5,°C,open-meteo,7
2023-02-19,2023-02-19,Caldas,temp_min_semanal,9.6,°C,open-meteo,7
2023-02-19,2023-02-19,Caldas,temp_promedio_semanal,14.5214,°C,open-meteo,7
2023-02-19,2023-02-19,Cauca,precipitacion_semanal,37.7,mm,open-meteo,7
2023-02-19,2023-02-19,Cauca,temp_max_semanal,22.6,°C,open-meteo,7
2023-02-19,2023-02-19,Cauca,temp_min_semanal,14.3,°C,open-meteo,7
2023-02-19,2023-02-19,Cauca,temp_promedio_semanal,17.7643,°C,open-meteo,7
2023-02-19,2023-02-17,GLOBAL,precio_cafe_arabica,188.6999969482422,USc/lb,yfinance,5
2023-02-19,2023-02-19,Huila,precipitacion_semanal,41.8,mm,open-meteo,7
2023-02-19,2023-02-19,Huila,temp_max_semanal,26.4,°C,open-meteo,7
2023-02-19,2023-02-19,Huila,temp_min_semanal,13.6,°C,open-meteo,7
2023-02-19,2023-02-19,Huila,temp_promedio_semanal,19.8714,°C,open-meteo,7
2023-02-19,2023-02-19,Nariño,precipitacion_semanal,28.5,mm,open-meteo,7
2023-02-19,2023-02-19,Nariño,temp_max_semanal,21.9,°C,open-meteo,7
2023-02-19,2023-02-19,Nariño,temp_min_semanal,13.8,°C,open-meteo,7
2023-02-19,2023-02-19,Nariño,temp_promedio_semanal,17.3286,°C,open-meteo,7
2023-02-19,2023-02-19,Quindío,precipitacion_semanal,102.9,mm,open-meteo,7
2023-02-19,2023-02-19,Quindío,temp_max_semanal,25.0,°C,open-meteo,7
2023-02-19,2023-02-19,Quindío,temp_min_semanal,14.9,°C,open-meteo,7
2023-02-19,2023-02-19,Quindío,temp_promedio_semanal,18.8857,°C,open-meteo,7
2023-02-19,2023-02-19,Risaralda,precipitacion_semanal,61.4,mm,open-meteo,7
2023-02-19,2023-02-19,Risaralda,temp_max_semanal,24.9,°C,open-meteo,7
2023-02-19,2023-02-19,Risaralda,temp_min_semanal,14.1,°C,open-meteo,7
2023-02-19,2023-02-19,Risaralda,temp_promedio_semanal,19.7714,°C,open-meteo,7
2023-02-19,2023-02-19,Tolima,precipitacion_semanal,82.5,mm,open-meteo,7
2023-02-19,2023-02-19,Tolima,temp_max_semanal,22.4,°C,open-meteo,7
2023-02-19,2023-02-19,Tolima,temp_min_semanal,13.0,°C,open-meteo,7
2023-02-19,2023-02-19,Tolima,temp_promedio_semanal,17.5214,°C,open-meteo,7
2023-02-26,2023-02-26,Antioquia,precipitacion_semanal,53.4,mm,open-meteo,7
